n_files,total_mb,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,mem_pred,wall_pred,bin_pred,wc_mean,wc_err,wc_std,x_mean,x_files,memory,wallclock,mem_bin
2,3,1,0,0,1,0,0,3,,,,,,,,,0.712576,48.0,0.0
3,7,0,0,1,0,0,1,2,,,,,,,,,0.704852,38.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.69038,50.0,0.0
2,1,1,0,1,1,1,0,3,,,,,,,,,0.6901,62.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.570856,33.0,0.0
2,9.0,0,0,0,1,0,0,1,0.47968155,17.534758,0.0,20.640588690937257,0.16965336946167622,10.558111352228114,,-0.8890390748952078,0.458192,18.0,0.0
5,9,0,0,2,0,0,1,2,,,,,,,,,0.658076,69.0,0.0
5,5,1,0,1,0,0,1,0,,,,,,,,,0.725132,71.0,0.0
2,1,0,1,1,1,1,0,3,,,,,,,,,0.948336,165.0,0.0
6,5,1,0,1,0,0,1,0,,,,,,,,,0.729408,77.0,0.0
2,9,1,1,1,1,1,0,3,,,,,,,,,1.112128,333.0,0.0
2,2,0,1,1,1,1,0,3,,,,,,,,,0.972984,179.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.570556,37.0,0.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.147292,1909.0,0.0
2,1,1,0,0,1,0,0,3,,,,,,,,,0.695856,37.0,0.0
5,21,1,0,0,1,0,1,3,,,,,,,,,0.80356,73.0,0.0
3,1,0,0,0,0,0,0,1,,,,,,,,,1.41056,102.0,0.0
7,103,1,1,1,0,1,1,0,,,,,,,,,2.761392,6594.0,1.0
25,4,0,0,0,0,0,1,1,,,,,,,,,1.51158,869.0,0.0
2,2,1,1,1,1,1,0,3,,,,,,,,,0.996628,222.0,0.0
3,5,0,0,2,0,0,1,2,,,,,,,,,0.589716,42.0,0.0
46,87,1,0,0,1,0,1,3,,,,,,,,,0.836444,431.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.704052,38.0,0.0
2,35,0,0,0,0,0,0,3,,,,,,,,,0.823676,53.0,0.0
3,30,0,0,0,0,0,0,2,,,,,,,,,0.588448,43.0,0.0
2,1,0,0,1,0,0,0,2,,,,,,,,,0.621916,52.0,0.0
2,34,1,1,1,0,1,0,0,,,,,,,,,1.712648,1898.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.5376,35.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.69166,38.0,0.0
2,6,1,0,0,1,0,0,3,,,,,,,,,0.712108,44.0,0.0
6,4,1,0,2,1,1,1,0,,,,,,,,,0.734556,104.0,0.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.14206,570.0,0.0
9,123,1,0,0,0,0,1,3,,,,,,,,,1.125828,261.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.537836,39.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.539292,36.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.69988,36.0,0.0
2,9.0,0,0,0,1,0,0,1,0.47968155,17.534758,0.0,20.640588690937257,0.16965336946167622,10.558111352228114,,-0.8890390748952078,0.458076,20.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.69058,36.0,0.0
2,34,1,1,1,0,1,0,0,,,,,,,,,1.713288,1407.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.572264,36.0,0.0
2,0,0,0,0,1,0,0,1,,,,,,,,,0.61592,40.0,0.0
2,1,0,0,1,1,1,0,3,,,,,,,,,0.690288,41.0,0.0
6,70,1,1,1,0,1,1,3,,,,,,,,,2.24084,2727.0,1.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.690912,36.0,0.0
3,43,0,0,0,0,0,0,2,,,,,,,,,0.750844,53.0,0.0
2,1,1,0,0,1,0,0,3,,,,,,,,,0.695484,43.0,0.0
5,2,0,0,0,1,0,1,1,,,,,,,,,0.707024,72.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.571748,37.0,0.0
6,70,0,1,1,0,1,1,3,,,,,,,,,1.148552,2427.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.6172,51.0,0.0
9,3,1,1,1,1,1,1,3,,,,,,,,,0.979264,495.0,0.0
2,34,1,1,1,0,1,0,0,,,,,,,,,1.716816,2418.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.546204,35.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.690752,34.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.690496,37.0,0.0
2,4,0,0,1,0,1,0,3,,,,,,,,,0.708648,37.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.571112,37.0,0.0
2,4,1,0,0,1,0,0,3,,,,,,,,,0.705224,44.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.572152,37.0,0.0
5,7,0,0,2,0,0,1,2,,,,,,,,,0.737644,64.0,0.0
5,1,1,1,1,1,1,1,3,,,,,,,,,0.965676,334.0,0.0
2,0,0,0,1,1,0,0,2,,,,,,,,,0.61692,52.0,0.0
2,4,1,0,0,1,0,0,3,,,,,,,,,0.696608,45.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.701548,37.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.57128,36.0,0.0
7,2,1,0,1,1,1,1,3,,,,,,,,,0.703396,85.0,0.0
2,13,1,0,0,0,0,0,3,,,,,,,,,0.893272,71.0,0.0
5,7,0,0,1,0,0,1,2,,,,,,,,,0.71502,58.0,0.0
2,9,1,1,1,1,1,0,3,,,,,,,,,1.111868,453.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.691108,37.0,0.0
15,245,1,1,1,0,1,1,3,,,,,,,,,4.303904,6667.0,1.0
2,35,1,1,1,0,1,0,3,,,,,,,,,1.728212,952.0,0.0
4,13,0,0,0,0,0,1,1,,,,,,,,,1.577496,207.0,0.0
3,1,0,0,0,0,0,0,1,,,,,,,,,1.414228,69.0,0.0
2,1,0,0,1,0,0,0,2,,,,,,,,,0.620428,52.0,0.0
3,7,0,0,1,0,0,1,2,,,,,,,,,0.720732,43.0,0.0
3,5,0,0,2,1,0,1,2,,,,,,,,,0.718568,42.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.7006,36.0,0.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.14642,2640.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.700252,36.0,0.0
13,23,0,0,0,0,0,1,1,,,,,,,,,1.638264,632.0,0.0
9,138,1,1,1,0,1,1,0,,,,,,,,,3.2873,11686.0,1.0
2,5,1,0,0,1,0,0,3,,,,,,,,,0.726912,50.0,0.0
9,138,1,1,1,0,1,1,0,,,,,,,,,3.256092,10006.0,1.0
5,49,1,0,0,0,0,1,3,,,,,,,,,1.108408,142.0,0.0
2,0,0,0,1,1,0,0,2,,,,,,,,,0.552764,28.0,0.0
2,1,1,0,1,1,1,0,3,,,,,,,,,0.694264,61.0,0.0
9,35,1,1,1,1,1,1,3,,,,,,,,,1.404472,1622.0,0.0
3,2,0,0,1,0,0,1,2,,,,,,,,,0.538084,36.0,0.0
5,5,0,0,1,0,0,1,2,,,,,,,,,0.715232,66.0,0.0
5,70,1,1,1,0,1,1,3,,,,,,,,,2.255772,2337.0,1.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.141516,496.0,0.0
7,1,0,0,0,0,0,1,1,,,,,,,,,1.463756,262.0,0.0
5,10,1,0,0,1,0,1,3,,,,,,,,,0.747968,72.0,0.0
7,105,1,1,1,0,1,1,3,,,,,,,,,2.752192,3356.0,1.0
5,1,1,1,1,1,1,1,3,,,,,,,,,0.965932,349.0,0.0
2,35,0,1,1,0,1,0,3,,,,,,,,,1.138516,518.0,0.0
2,35,0,0,0,0,0,0,3,,,,,,,,,0.822928,57.0,0.0
11,172,1,1,1,0,1,1,0,,,,,,,,,3.803748,10561.0,1.0
6,69,1,1,2,0,1,1,0,,,,,,,,,2.23626,5105.0,1.0
5,69,1,1,1,0,1,1,0,,,,,,,,,2.233844,3953.0,1.0
6,69,1,1,2,0,1,1,0,,,,,,,,,2.23244,3192.0,1.0
2,1,1,1,1,1,1,0,3,,,,,,,,,0.947996,174.0,0.0
2,1,1,0,1,1,1,0,3,,,,,,,,,0.69114,66.0,0.0
7,17,0,0,0,0,0,1,2,,,,,,,,,0.706764,87.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.537996,38.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.570588,38.0,0.0
2,2,0,0,1,0,0,0,2,,,,,,,,,0.570608,38.0,0.0
5,17,1,1,1,1,1,1,3,,,,,,,,,1.138252,423.0,0.0
5,5,1,1,1,1,1,1,3,,,,,,,,,1.01886,428.0,0.0
